I0,I1,I2,I3,time(sec)
31,31,31,71,87.8
31,32,31,72,88
30,31,30,71,88.2
28,29,28,66,88.4
27,28,27,64,88.6
28,28,28,64,88.8
28,30,28,67,89
29,30,29,68,89.2
30,30,30,68,89.4
30,30,30,68,89.6
29,31,29,69,89.8
30,31,30,69,90
30,30,30,70,90.2
30,31,30,71,90.4
31,31,30,71,90.6
30,31,30,70,90.8
29,30,29,66,91
28,29,28,65,91.2
29,30,28,67,91.4
29,30,29,68,91.6
30,30,29,69,91.8
30,30,29,70,92
30,31,30,71,92.2
30,31,30,70,92.4
30,31,30,71,92.6
31,32,30,71,92.8
31,31,31,71,93
30,31,30,71,93.2
29,31,29,68,93.4
30,31,29,71,93.6
30,32,30,71,93.8
30,32,30,71,94
30,32,30,72,94.2
31,32,31,72,94.4
31,31,31,71,94.6
31,31,30,70,94.8
30,32,31,72,95
31,32,30,73,95.2
30,32,30,72,95.4
30,31,30,70,95.6
29,30,29,68,95.8
29,31,29,68,96
30,30,30,69,96.2
30,31,30,71,96.4
31,31,30,72,96.6
31,31,31,72,96.8
31,32,31,72,97
31,32,31,73,97.2
31,33,31,73,97.4
31,32,31,73,97.6
31,33,31,73,97.8
31,32,31,72,98
30,31,30,70,98.2
30,32,30,71,98.4
31,32,31,71,98.6
31,32,30,73,98.8
31,32,32,73,99
31,33,31,74,99.2
32,32,31,73,99.4
31,33,31,74,99.6
32,32,31,73,99.8
31,33,31,74,100
32,32,32,73,100.2
32,32,31,73,100.4
31,32,31,73,100.6
30,31,30,71,100.8
30,32,30,71,101
31,32,31,72,101.2
31,32,31,73,101.4
31,32,31,72,101.6
31,32,30,72,101.8
30,31,30,71,102
31,31,30,71,102.2
29,30,30,69,102.4
29,30,29,69,102.6
29,29,28,66,102.8
27,27,27,61,103
25,27,25,60,103.2
26,27,26,61,103.4
26,28,26,62,103.6
27,28,27,63,103.8
27,29,27,64,104
27,29,27,65,104.2
28,29,27,66,104.4
29,29,28,66,104.6
28,30,28,67,104.8
28,29,28,65,105
26,28,26,62,105.2
25,26,24,59,105.4
26,26,26,59,105.6
26,27,25,61,105.8
26,28,26,63,106
27,28,27,63,106.2
27,28,27,64,106.4
28,28,28,64,106.6
28,29,28,65,106.8
28,29,28,65,107
27,28,27,64,107.2
27,27,27,62,107.4
25,26,25,58,107.6
23,25,23,56,107.8
25,26,25,57,108
25,26,25,59,108.2
25,26,25,60,108.4
26,26,26,60,108.6
26,27,26,61,108.8
26,27,26,62,109
26,27,26,62,109.2
27,28,26,63,109.4
27,28,26,62,109.6
27,28,26,63,109.8
27,28,26,62,110
26,26,26,60,110.2
25,27,25,59,110.4
26,27,26,61,110.6
27,28,27,62,110.8
27,28,26,63,111
26,27,26,63,111.2
26,27,27,63,111.4
27,28,26,63,111.6
27,28,27,63,111.8
27,28,27,63,112
26,28,26,63,112.2
27,28,27,63,112.4
26,27,25,61,112.6
25,26,25,59,112.8
25,27,25,60,113
25,26,25,61,113.2
26,26,26,61,113.4
26,27,26,62,113.6
26,27,26,63,113.8
26,27,26,63,114
26,27,26,63,114.2
26,27,26,63,114.4
27,28,26,63,114.6
27,28,27,64,114.8
27,28,27,64,115
27,28,27,63,115.2
26,27,26,61,115.4
25,26,24,59,115.6
24,24,23,57,115.8
24,25,24,59,116
24,25,24,60,116.2
25,25,25,61,116.4
24,26,24,61,116.6
24,26,24,61,116.8
25,25,25,61,117
25,26,24,62,117.2
26,26,25,62,117.4
25,26,25,62,117.6
24,26,24,61,117.8
24,25,24,60,118
25,26,25,61,118.2
25,25,24,61,118.4
25,26,25,62,118.6
25,27,25,63,118.8
25,26,25,63,119
25,27,25,63,119.2
26,26,26,63,119.4
25,27,25,63,119.6
25,26,25,62,119.8
23,24,22,57,120
