I0,I1,I2,I3,time(sec)
4,5,9,3,89.6
4,4,9,2,89.8
5,5,12,3,90
3,3,8,2,90.2
3,3,8,1,90.4
2,3,7,2,90.6
3,3,7,1,90.8
2,3,7,1,91
3,3,7,1,91.2
3,3,7,2,91.4
3,4,8,2,91.6
3,3,8,2,91.8
3,3,7,1,92
2,3,7,1,92.2
2,2,7,1,92.4
2,2,6,1,92.6
3,3,8,2,92.8
6,6,16,4,93
7,8,19,5,93.2
8,8,21,6,93.4
7,8,19,5,93.6
6,7,17,4,93.8
5,5,14,4,94
5,5,13,3,94.2
3,4,11,3,94.4
3,3,9,2,94.6
3,3,9,2,94.8
3,3,9,2,95
3,3,9,1,95.2
2,3,6,1,95.4
3,3,8,1,95.6
2,3,6,1,95.8
4,5,11,3,96
4,4,14,3,96.2
4,5,16,4,96.4
4,4,16,3,96.6
2,2,7,1,96.8
2,2,7,1,97
2,2,7,1,97.2
2,2,8,1,97.4
2,3,7,1,97.6
2,2,7,1,97.8
4,4,12,2,98
5,6,15,4,98.2
6,6,19,4,98.4
7,8,22,6,98.6
8,9,23,6,98.8
6,6,17,4,99
5,4,13,3,99.2
3,2,8,1,99.4
2,2,7,1,99.6
3,2,8,1,99.8
3,3,9,1,100
3,3,9,2,100.2
3,3,10,2,100.4
3,3,9,2,100.6
3,4,11,2,100.8
5,6,16,4,101
6,7,18,5,101.2
8,9,23,7,101.4
8,10,25,7,101.6
8,9,23,7,101.8
7,7,18,5,102
6,7,18,4,102.2
5,5,15,4,102.4
3,3,7,2,102.6
2,3,7,1,102.8
3,3,9,2,103
2,3,8,2,103.2
3,3,9,2,103.4
4,4,11,3,103.6
5,6,16,4,103.8
7,8,20,5,104
8,9,23,6,104.2
8,9,23,7,104.4
6,7,17,5,104.6
5,5,12,3,104.8
4,5,12,3,105
3,4,9,2,105.2
3,3,8,1,105.4
3,3,8,2,105.6
3,4,10,2,105.8
3,4,9,2,106
4,5,12,3,106.2
6,6,15,4,106.4
7,7,19,5,106.6
8,10,24,7,106.8
9,10,26,7,107
8,9,23,7,107.2
7,7,19,5,107.4
6,5,16,4,107.6
4,4,12,3,107.8
4,5,10,3,108
3,3,9,2,108.2
3,3,8,2,108.4
4,4,10,2,108.6
6,6,15,4,108.8
7,7,17,5,109
8,8,21,6,109.2
8,9,24,7,109.4
9,10,25,7,109.6
7,9,22,7,109.8
7,8,20,5,110
6,7,18,5,110.2
5,5,15,3,110.4
4,4,11,3,110.6
2,3,7,1,110.8
2,2,7,1,111
2,3,6,1,111.2
3,4,8,2,111.4
5,6,16,4,111.6
6,8,18,5,111.8
8,9,20,6,112
8,8,20,6,112.2
7,8,20,5,112.4
6,7,18,4,112.6
6,7,17,4,112.8
4,4,10,3,113
3,4,9,2,113.2
4,4,10,3,113.4
4,5,12,3,113.6
5,5,15,4,113.8
6,6,16,4,114
6,7,17,5,114.2
7,8,19,5,114.4
7,9,22,6,114.6
8,9,22,6,114.8
6,7,18,5,115
6,6,16,4,115.2
4,4,9,2,115.4
3,4,9,2,115.6
3,4,9,2,115.8
3,4,9,2,116
2,4,7,1,116.2
2,4,8,2,116.4
5,7,16,4,116.6
6,8,18,5,116.8
6,8,18,5,117
5,7,14,4,117.2
4,6,11,3,117.4
3,5,9,2,117.6
3,3,7,2,117.8
3,4,7,1,118
3,4,8,2,118.2
3,4,12,3,118.4
3,4,11,2,118.6
3,4,10,2,118.8
3,3,9,2,119
1,3,6,1,119.2
1,2,5,0,119.4
2,4,6,1,119.6
3,5,9,2,119.8
4,6,11,3,120
