I0,I1,I2,I3,time(sec)
51,50,51,102,90.4
50,51,50,102,90.6
51,51,51,102,90.8
51,51,51,102,91
50,51,50,103,91.2
50,50,51,102,91.4
50,51,50,101,91.6
49,49,49,99,91.8
49,49,48,99,92
50,50,50,101,92.2
51,51,50,102,92.4
49,50,49,100,92.6
51,51,50,101,92.8
51,51,50,102,93
51,52,51,104,93.2
51,51,51,102,93.4
51,51,51,102,93.6
51,51,50,103,93.8
52,52,51,103,94
51,52,51,104,94.2
51,52,51,103,94.4
52,52,51,103,94.6
51,52,51,104,94.8
52,52,52,104,95
51,52,51,104,95.2
51,51,50,102,95.4
51,51,50,102,95.6
51,52,51,103,95.8
50,51,50,101,96
51,51,50,102,96.2
50,51,50,103,96.4
50,50,49,100,96.6
50,50,50,101,96.8
50,51,50,102,97
51,50,51,101,97.2
50,51,50,101,97.4
49,51,49,100,97.6
50,51,50,101,97.8
51,50,51,102,98
50,51,50,102,98.2
51,52,51,103,98.4
51,52,50,103,98.6
51,51,51,103,98.8
51,51,51,103,99
51,52,51,103,99.2
51,52,50,104,99.4
52,51,50,103,99.6
51,51,51,103,99.8
51,51,51,103,100
51,52,51,104,100.2
51,51,51,103,100.4
51,51,50,103,100.6
51,52,51,104,100.8
52,52,52,103,101
52,53,52,105,101.2
52,52,52,105,101.4
51,52,52,104,101.6
52,52,51,104,101.8
51,52,51,104,102
52,52,52,104,102.2
51,52,51,104,102.4
51,52,51,103,102.6
52,52,51,104,102.8
51,52,51,103,103
51,52,51,104,103.2
52,51,51,103,103.4
53,52,51,104,103.6
51,52,51,104,103.8
52,52,52,104,104
52,52,51,105,104.2
52,53,52,105,104.4
52,53,51,105,104.6
52,53,52,105,104.8
52,52,52,104,105
52,52,52,104,105.2
52,52,52,105,105.4
52,52,51,104,105.6
52,52,52,104,105.8
51,53,51,105,106
52,52,52,105,106.2
52,52,53,105,106.4
52,52,52,104,106.6
52,53,52,104,106.8
52,52,51,104,107
49,50,49,99,107.2
49,49,49,98,107.4
47,47,47,96,107.6
48,49,48,98,107.8
49,49,49,99,108
50,49,50,99,108.2
50,50,49,100,108.4
50,51,50,101,108.6
51,51,50,101,108.8
51,50,50,101,109
50,51,50,102,109.2
50,51,51,102,109.4
51,52,51,103,109.6
51,52,51,103,109.8
51,52,51,103,110
50,50,49,100,110.2
49,50,49,100,110.4
49,49,49,99,110.6
49,50,49,99,110.8
49,50,49,99,111
48,48,47,96,111.2
48,49,48,97,111.4
49,49,49,98,111.6
49,50,50,99,111.8
49,50,49,100,112
45,45,45,91,112.2
38,38,37,76,112.4
42,43,42,87,112.6
44,46,44,91,112.8
46,47,46,93,113
47,47,46,94,113.2
47,47,48,95,113.4
48,48,48,97,113.6
48,48,48,96,113.8
48,49,48,97,114
48,49,48,96,114.2
48,49,47,97,114.4
48,49,48,98,114.6
49,48,49,97,114.8
49,49,49,100,115
49,50,49,98,115.2
49,48,48,98,115.4
48,49,48,99,115.6
47,48,47,96,115.8
49,49,49,98,116
48,49,48,98,116.2
49,49,49,99,116.4
49,50,49,99,116.6
49,50,49,99,116.8
49,50,49,100,117
49,49,49,99,117.2
49,50,49,100,117.4
49,50,49,100,117.6
49,50,49,101,117.8
50,51,49,101,118
49,50,49,100,118.2
50,51,50,101,118.4
50,50,50,100,118.6
50,51,50,101,118.8
50,51,50,101,119
50,50,50,102,119.2
50,51,50,102,119.4
50,51,50,102,119.6
49,50,49,101,119.8
50,50,50,101,120
