I0,I1,I2,I3,time(sec)
24,25,24,73,76.4
25,25,25,73,76.6
24,25,24,72,76.8
24,24,24,72,77
24,25,24,73,77.2
25,24,24,72,77.4
24,25,24,72,77.6
24,25,24,72,77.8
24,25,24,73,78
25,25,25,73,78.2
25,25,24,73,78.4
25,24,24,73,78.6
24,25,24,72,78.8
25,24,25,72,79
24,25,25,73,79.2
25,25,24,73,79.4
25,25,25,73,79.6
24,25,24,72,79.8
24,25,24,72,80
24,24,24,72,80.2
24,24,24,71,80.4
25,24,24,71,80.6
23,24,23,71,80.8
24,24,24,71,81
24,25,24,72,81.2
25,25,24,73,81.4
25,25,25,73,81.6
25,25,24,73,81.8
25,25,24,73,82
25,25,25,72,82.2
24,25,25,73,82.4
25,25,25,73,82.6
24,25,24,73,82.8
25,24,24,72,83
24,24,24,71,83.2
24,24,24,71,83.4
24,24,24,70,83.6
24,25,24,72,83.8
24,25,24,73,84
24,25,24,73,84.2
24,25,24,72,84.4
24,24,24,71,84.6
24,24,24,71,84.8
25,24,24,72,85
24,25,24,72,85.2
24,24,24,71,85.4
24,24,24,71,85.6
23,24,23,71,85.8
23,24,24,70,86
23,24,22,69,86.2
24,23,23,70,86.4
24,25,23,71,86.6
24,25,24,72,86.8
24,25,24,72,87
25,24,25,72,87.2
25,25,24,71,87.4
25,25,25,73,87.6
25,25,25,73,87.8
24,25,24,73,88
25,25,25,72,88.2
24,24,24,71,88.4
24,24,24,71,88.6
23,25,23,71,88.8
24,24,24,71,89
24,24,24,72,89.2
24,23,23,69,89.4
23,24,23,69,89.6
23,24,23,70,89.8
24,24,24,71,90
24,24,24,71,90.2
24,24,24,71,90.4
24,25,24,72,90.6
25,24,25,71,90.8
24,24,24,72,91
24,24,23,70,91.2
24,25,24,72,91.4
24,25,24,72,91.6
23,24,23,69,91.8
24,24,23,69,92
24,25,23,70,92.2
24,24,23,70,92.4
24,24,24,72,92.6
24,24,23,70,92.8
22,22,21,65,93
22,22,22,66,93.2
22,22,22,65,93.4
22,23,22,66,93.6
23,23,23,68,93.8
23,24,22,69,94
24,23,23,69,94.2
24,24,23,70,94.4
24,24,24,70,94.6
24,25,24,72,94.8
25,24,25,72,95
24,25,24,72,95.2
24,24,24,72,95.4
24,24,23,71,95.6
24,24,24,70,95.8
24,24,24,70,96
23,24,23,70,96.2
23,24,23,69,96.4
23,23,23,68,96.6
24,23,23,69,96.8
24,24,24,71,97
25,25,25,73,97.2
25,25,24,73,97.4
25,25,25,73,97.6
25,25,25,73,97.8
26,26,25,74,98
26,26,25,74,98.2
26,26,25,75,98.4
25,26,25,74,98.6
25,25,24,73,98.8
24,24,24,71,99
23,23,23,68,99.2
22,23,22,66,99.4
23,22,22,66,99.6
23,22,22,67,99.8
23,23,22,68,100
24,24,23,70,100.2
23,24,24,71,100.4
24,24,25,71,100.6
24,25,25,72,100.8
25,25,25,73,101
25,25,25,74,101.2
24,25,24,73,101.4
24,25,24,72,101.6
24,24,24,71,101.8
24,24,23,70,102
23,23,23,69,102.2
23,24,23,69,102.4
24,23,23,69,102.6
24,25,24,72,102.8
24,25,24,72,103
25,25,25,73,103.2
25,25,25,74,103.4
25,25,25,74,103.6
25,26,25,75,103.8
25,25,25,74,104
24,25,24,73,104.2
24,24,24,71,104.4
23,24,23,70,104.6
24,23,23,69,104.8
24,23,23,69,105
24,24,24,71,105.2
25,24,24,72,105.4
25,25,25,73,105.6
26,25,25,74,105.8
25,25,26,74,106
25,26,25,75,106.2
25,26,25,74,106.4
25,25,25,73,106.6
24,25,23,72,106.8
23,24,23,70,107
23,24,23,69,107.2
24,23,23,69,107.4
24,24,23,70,107.6
24,24,24,71,107.8
24,25,24,73,108
25,25,25,73,108.2
25,26,25,75,108.4
26,26,26,75,108.6
26,26,25,75,108.8
25,26,25,74,109
25,25,25,74,109.2
25,25,25,73,109.4
25,25,24,73,109.6
25,25,24,72,109.8
25,26,25,74,110
25,26,25,75,110.2
24,25,25,73,110.4
23,24,24,69,110.6
24,24,23,71,110.8
24,24,23,70,111
24,24,24,71,111.2
25,25,25,73,111.4
25,25,24,73,111.6
25,25,25,74,111.8
25,24,24,72,112
25,24,25,73,112.2
25,25,24,73,112.4
25,24,24,72,112.6
24,24,24,71,112.8
24,24,24,71,113
25,25,24,73,113.2
25,25,25,73,113.4
25,26,25,75,113.6
25,25,25,74,113.8
24,25,24,73,114
24,25,24,73,114.2
23,23,22,67,114.4
22,23,22,67,114.6
22,22,22,66,114.8
23,23,22,68,115
24,24,23,70,115.2
24,23,24,68,115.4
24,25,24,72,115.6
25,25,25,73,115.8
25,25,25,74,116
